5.8,2.7,5.1,1.9,Iris-virginica
5.2,2.7,3.9,1.4,Iris-versicolor
7.7,3.0,6.1,2.3,Iris-virginica
4.6,3.6,1.0,0.2,Iris-setosa
5.8,2.7,5.1,1.9,Iris-virginica
7.0,3.2,4.7,1.4,Iris-versicolor
5.0,3.3,1.4,0.2,Iris-setosa
6.8,2.8,4.8,1.4,Iris-versicolor
6.2,2.8,4.8,1.8,Iris-virginica
5.7,2.6,3.5,1.0,Iris-versicolor
5.0,3.0,1.6,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
5.6,3.0,4.5,1.5,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
7.7,3.8,6.7,2.2,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
4.4,3.0,1.3,0.2,Iris-setosa
6.3,3.3,6.0,2.5,Iris-virginica
5.5,4.2,1.4,0.2,Iris-setosa
